Activity Code,Activity Name,Description
7120023,Agricultural," Laboratory Includes specialized firms conducting research and chemical and biological lab analysis for development of agriculture, involving, control plant disease, irrigation water testing, tissue culture, plant survival in salt water, fiower germination, mortality of plants and plant production through convention methods."
161003,Agricultural Pest," Control Includes firms engaged in plant protection and integrated pest management to control plant pest, fungal and soil diseases by using methods of control either manual, automatic, biological, chemical or by aircraft"
7490018,Agricultural Research," & Consultancy Includes firms providing consultancy and research related to agricultural economic feasibility, land reclamation and irrigation, agricultural project development, animal poultry farming."
8690035,Air Ambulance," Services Includes providing air ambulance emergency services to move patients and accidents victims to hospitals and treatment centers, shifting doctors and medical teams alongwith the medical supplies to where natural disasters strike, transporting donated organs and medical equipment, such firms must be staffed by highly trained medical personnel as well as obtaining due licensing from the competent medical authorities."
3312007,Air-Condition &," Refrigeration Equipment Maintenance & Repair Includes repairing and maintaining different air-conditioning systems, central, window or split units as well as coolers, cold storage compartments, central water cooling and other refrigeration equipment."
4322005,"Air-Condition,"," Ventilations & Air Filtration Systems Installation & Maintenance Includes series of installation processes ranging from fitting devices and accessories to air- conditions, ventilators, air-purifiers , to reconditioning and maintaining the old units, cleaning air ducts, fixing fans, fabric filters, sound dampers... etc. It also involves installing air-sterilizers in foodstuff cold stores, kitchens, hospitals, laboratories, animal breeding and husbandry rooms, electronic plants, any facility that requires highly purified air or air with specific gas concentration."
7730020,Aircraft & Requisites, Leasing Includes firms specialized in leasing airplanes under lease contracts for air fiights in scheduled passenger and freight transport fiights including its operational and ground handling tools.
7490003,Aircraft Classification," Services Includes organizations that survey aircrafts in order to categorize according to the applicable local and international standard specifications, classification certificates can be issued as regarding adherence to the technical standards of operation."
8129006,Aircraft Cleaning, Services Includes interior and exterior aircraft cleaning service and airplane cabin garbage collection and disposal.
3830914,Aircraft Dismantling," Includes firms engaged in removal of valuable parts and components from a decommissioned aircrafts, which are intended to be reused in the aviation industry, and taking out other parts for non-aviation purposes and tearing down the rest of the aircraft for recycling purposes."
3315005,Aircraft Engine &," Parts Repair & Overhaul Includes repairing, maintaining, testing and calibrating all kinds of aircrafts engines and spare parts."
3315007,Aircraft Seats," Upholstery Includes providing aircrafts seats with padding, springs, webbing, and fabric covers."
5223003,Airplane," Management & Operation Includes firms specialized in managing and operating airplane for other parties. This involves executing operations necessary for handling passengers and cargo transport, changing crew and navigators."
5223001,Airport Ground," Services Includes servicing an aircraft while it is on the ground and parked at a terminal gate of an airport, involving handling the many service between arrival and departure such as cabin service, catering, ramp service, passenger service, field operation service."
8129005,Airport Runways, Cleaning Services Includes the manual and mechanical cleaning of runways and roads.
7110709,Airports Engineering," Services Includes providing services and consultancies related to the planning and functional design of airports in order to provide for the safe, , rapid, efficient, movement of people and goods, it involves airport planning and layout, size of runways, lighting, fuel systems, drainage and storm water pollution plans, size of arrival and departure buildings, the minimal qualifications required is bachelor degree in civil engineering, along with three years hands-on experience. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
4329104,Airports Ground," Support Equipment Installation & Maintenance Includes installing equipment at airport terminal, such as baggage handling system, x-ray inspectors, metal detectors, and luggage and body scanners and other ground equipment"
8690007,Ambulance Services," Includes firms providing ambulance emergency and non- emergency medical services by a well equipped ambulances for transferring patients and injured persons to hospitals and clinics, involving transport of patients from homes, escort services, located in public places and highways for emergencies, such firms must be staffed by highly trained medical personnel as well as obtaining due licensing from Dubai corporation for ambulance services."
7710012,Ambulances Rental, Includes firms that rent ambulances without drivers.
9312036,American Football," Training Includes firms specialized in the instruction of American football , whether inside the firm’s own facility or elsewhere, It involves the operation of the equipped sports facilities to allow for exercising such sports"
3319908,Amusement Center," Equipment Repair & Maintenance Includes repairing and maintaining amusement centers’ equipment such as billiard tables, electronics and manual games devices.. etc."
9321003,Amusement Park," Includes amusement parks or theme parks, including the operation of a variety of attractions aimed towards all ages , such as mechanical rides, water rides, games, shows, theme exhibits and picnic grounds."
8620036,Anesthesia & Pain, Therapy Clinic Includes clinics where a specialized doctor in anesthesia and pain therapy is permanently and continuously available to perform narcosis for patients undergoing surgeries or treating patients suffering chronic pain disease.
7500007,Animal Etiquette &," Behavior Consultant Includes veterinary clinics involved in animal behavior consultancy for pet and farm animals, to solve behavior problems, such as, aggression, anxiety, fears and phobias. Treating these problems will help animal owners to have better relations with them and improve the productivity in the case of farm animals, as well as reducing the risks of injury , it also involves animal etiquette which offers an approach to the positive reinforcement methods of training in all the activities that is provided for the animal."
9411003,Animal Welfare," Organization Includes public utility organizations which work to improve public awareness towards animal welfare importance, save animals from extinction, prevent cruelty and abuse, stop banned hunting and illegal trade in rare animals, urge competent authorities to activate wildlife protection laws and to provide support and guidance plans."
7500005,Animals," Physiotherapy includes providing animals and horses rehabilitation and stimulating body movement and improving abilities to perform body functions through using massage, stretches, muscle stimulation and manipulation exercises."
9521003,Antennas Installation," & Repair Includes installing and fixing antennas to use in radio and television broadcasting, telecommunication receivers, wireless computer network, radar."
3319906,Anti-Corrosion," Services Includes workshops engaged in removing rust and polishing tools and utensils made of silver or copper, also, carrying out rust removal from structural steel and marine equipment as well as provision of anti-corrosion services."
9529005,Antiques & Rare," Collections Repair Includes the firms specialized in repairing and maintaining antiques and precious collections, including luxurious furniture, work of arts, manuscripts, books."
9102002,Antiques Museum," A building storing local antiquities which display life in the past, including pottery, coins, households and utensils, musical instruments, hunting and fishing articles, gold and gold ornaments…etc."
9103003,Aquarium Park," An aquarium designed to accommodate a large variety of marine species, such as, dolphins, sea lions, sea otters, sea turtles, penguins...etc, it provides wonderful marine shows of entertaining dolphins and sea lions, not only that, but the audience can get closer to the animals to learn more about them and even take pictures with them."
7110918,Archeological," Restoration & Conservation Engineering Services Includes providing services and consultancies related to conservation and preservation of archeological materials by using the method of examination, documentation, treatment, protection to keep that property in as close to its original condition as possible, the minimal qualifications required is bachelor degree in Architectural engineering, along with three years hands-on experience. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
7110202,Architectural Design," Consultancy Includes firms engaged in providing consultancies and services related to architectural engineering, including preparing preliminary and final engineering and technical studies for construction projects as well as interior design and landscaping, the minimal qualifications required is bachelor degree in architectural engineering, along with three years hands-on experience."
7110937,Architectural," Prospective Drawings Services Includes firms specialized in offering architectural prospective drawings services for all buildings and civil projects, showing relations with other standing, neighboring projects, buildings or elevations and natural scenery. These services also include drawing up horizontal and vertical sections of these buildings and projects."
9000904,Art Gallery," Includes galleries which constantly show art works such as drawings, sculptures, photographs, handicraft works, masterworks etc. or allocate these works of art for holding exhibitions for artists from time to time."
5913002,Artistic Production," Contracting Services Includes providing complete technical supplies and manpower to artistic companies engaged in cinema, T.V., and radio production. Series of activities are involved including preparing internal and external filming and recording sites, decorations, renting and supplying equipment, light fixtures, sound effects, costumes, concluding contracts with actors and artists and associates supervision, accommodation, transport, fiight reservations...etc."
9000103,Artistic Talent," Contracting Includes offices which undertake brokerage and conduct contacts with singers, actors, musicians or the various artistic groups to perform musical, wedding, ceremonies and private parties or give artistic performances in favour of some licensed bodies and firms such as hotels, clubs and social institutions against a commission. These offices may not perform at parties for its own sake."
8620024,Assisted Fertilization, Center A facility where technologies for assisting human fertility and includes all clinical and biological interventions used to help in achieving fertilization and pregnancy without sexual intercourse.
8299019,Auction Organizing," Includes firms organize public auctions to sell properties or movables by experienced auctioneers and appraisers, and in specialized galleries or in any place specified by the concerned authority, also, carrying out related procedures, mainly obtaining auction permits, announcements, venue leasing, sorting out sold materials, transfer of ownership and value collection."
1820003,Audio & Visual, Recorded Media Reproduction Studio Includes firms engaged in reproducing audio and visual records tapes and compact discs from master compact discs of such records and provide directly to the public.
1820001,Audio Recorded," Media Reproduction Studio Includes firms engaged in reproducing sound recordings and radio programs in tapes and compact discs from the master copies of such records, such service is limited to small scale and is directly provided to the public."
8690037,Audiology & Speech, Center A health facility licensed to evaluate and treat hearing weakness and speech problems.
6920001,Auditing of Accounts," Includes offices specialized in practicing accounting services and qualified to audit accounts of companies and firms and make comprehensive examination and auditing of all kinds of accounts, records and accounting books of an establishment, the outcome of its business, and reports on its financial position."
6202008,"Auditing, Reviewing"," &Testing Cyber Risks Includes firms engaged in auditing the organizations’ compliance with the standards and documented procedures that identify risks and vulnerabilities within the existing IT environment, also, conducting penetration testing to the established security measure for possible breaches and the exploitable vulnerabilities that an attacker might gain unauthorized access."
6910012,Author's Copyrights," & Neighboring Rights Collective Management Services Includes firms specialized in protecting authors' copyrights through handling their representation , contract management , collect copyrights proceeds in return of contribution in domain of literature , drama , music , cinema and arts , also , to care for neighboring which involves individuals and corporations that perform and produce the authors intellectual production."
4520012,Auto Accessories," Fitting Includes fitting non-essential automotive exterior accessories which embellish the look and feel of an automobile or add functionality, as well as the interior electronic and smart devices, also installing window film to reduce sun heat and glare."
4520021,Auto Air-Condition, Repair Includes maintaining and repairing the air-conditioning system of the car.
4520001,Auto Denting &," Painting Includes restoration and painting of the vehicle body affected by accidents or otherwise, including denting, chassis modify, welding works. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
4520005,Auto Electric Repair, Includes maintaining and repairing the components of the auto electric system which starts and control the operation of the different parts of the car.
4520013,Auto Exhaust Repair, Includes maintaining and repairing car exhausts to minimize the noise produced by the engine as well as reducing engine emissions.
4520023,Auto General Repair, Includes firms that repair all types of mechanical failure in light and heavy motor vehicles.
4520003,Auto Mechanical, Repair Includes workshops that repair mechanical failures in motor vehicles.
4520010,Auto Oil Change, Includes changing engine oil and other fiuids which maintain the efficiency of the vehicle.
4520028,Auto Phones, Installation & Repair Includes fitting mobile phones into automobiles.
9311005,Auto Racetrack," Includes the motorsport venue for hosting local races and the grand prix (formula), it’s designed to have several tracks, mainly the grand prix circuit and high speed test circuit, the grandstands are laid out to enable spectators to view all the stages of the race as well as securing spectators safety."
4520006,Auto Radiators," Repair & Maintenance Includes repairing ,cleaning and restoring vehicle radiators"
4520011,Auto Rust Proofing, Services Includes proofing cars with corrosion resistant materials such as chrome and steel which work to protect against corrosion and rust caused by external factors.
9601007,Auto Seats Cleaning," Includes the manual and machine deep cleaning for car seats, other than the cleaning carried when the whole car is washed."
1392013,Auto Tarpaulin," Tailoring Includes sewing tarpaulin using strong, fiexible, water-resistant or waterproof material to use as loose covers for cars in order to protect from wind, rain, or sunlight."
4390021,Automated Car," Parking Systems Installation & Maintenance Includes installing automatic systems capable of parking the cars in the parking garage by a programmed palletless automatic Robots , it involves receiving the car at the entry module , transfer to a vacant space and to transfer again to the exit module when the car is recalled , such parking garage can be constructed above ground and underground."
8549001,Automobile Driving," School Includes providing theoretical education and practical driving instruction on light motor, heavy trucks and buses, lifting trucks and motorcycles, before attempting the practical driving test conducted by the concerned authorities."
7110951,Automobile," Engineering Services Includes providing services and consultancies related to vehicle engineering which incorporates the elements of design, mechanical, electrical, safety, fuel economy, noise, vibration, and harshness, performance, the minimal qualifications required is bachelor degree in mechanical engineering, along with three years hands-on experience."
2920905,Automobile," Outfitting Includes workshop specialized in tuning and modifying the exterior or the interior of the passenger automobiles in order to personalize the characteristics of a vehicle to the owner's preference, as well as to provide better fuel economy, produce more power, better handling, the exterior includes changing characteristics of the vehicle via side skirts, front and rear bumpers, spoilers, interior involves the audio systems, air conditioning and soundproofing, modifying and customizing commercial vehicles to convert into trucks for other purposes such as food carts, ambulances, concrete-mixers…etc."
5229020,Aviation Business," Brokerage Includes firms engaged in variety of brokerage services regarding aviation business such as brokering fiights on behalf of individuals and companies market for both passenger and cargo transportation, the sale and acquisition of aircrafts..etc"
9312037,Aviation Club," A membership entity aims at promoting aeronautical sciences and to encourage the participation of members practice sky sports and leisure fiying such as gliding, par motoring, remote-controlled aircrafts operation, parachuting."
5229012,Aviation Consultant," Includes firms specialized in providing aviation feasibility studies and consultancies as regarding airplanes buying and selling, fieet planning and aircraft selection, safety audits, crew selection and appointment, maintenance follow-up,aircraft registration, ownership transfer, lease delivery and return. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
7110965,Aviation Electrical," Network & Distribution Engineering Services Includes providing services and consultancies related to the aircraft electrical system which consists the self-contained network of components that generate, transmit, distribute, utilize and store electrical energy, the minimal qualifications required is bachelor degree in electrical engineering, along with three years hands-on experience."
7110942,Aviation Equipment," Engineering Services Includes providing consultancies and services as regarding the systems that carry out homogeneous functions in the aircraft, including avionics, electrical, hydraulics, fuel, navigation, fiight control, cooling systems, the minimal qualifications required is bachelor degree in electrical engineering, along with three years hands-on experience."
7110963,Aviation Mechanical," Power Engineering Services Services Includes providing engineering support and services to aircrafts with regard to thermal dynamics and transmission to thermal equipment, fuel combustion, and propelling systems technology, the minimal qualifications required is bachelor degree in mechanical engineering, along with three years hands-on experience."
7110964,Aviation Projects," Engineering Management &Technical Feasibility Studies Services Includes firms which work out primary technical and economic studies for aviation projects, involving preparation of tender documents, prequalification of consultants and contractors, assessment of financial offers and follow up of execution on the technical and engineering levels, the minimal qualifications required is bachelor degree in Architectural, civil, electrical or mechanical engineering, along with three years hands-on experience."
5223006,Aviation Services," Coordination Includes firms specialized in coordinating between their clients and services providers as related to fuel services, airport ground operation, fiight permission and passenger facilitation."
8549101,Aviation Training," Institute Includes institutes engaged in providing ground as well as fiying training in order to acquire air transport pilot license as per the curriculum and standards laid down by civil aviation authority, the courses involve aircraft general knowledge, principles of fiights, general navigation, operational procedures, airplane performance, communication."
8549008,Aviation Training, Services Includes firms specialized in training and qualifying individuals to perform technical occupations in aviation.
8690018,Ayurvedic Center," A health facility licensed to provide ayurvedic Indian medicine, based on Indian philosophy of understanding human body, medicine and treatment. Indian medicine consists of natural resources of herbs, message, oils, nutrition, exercises, yoga and diet."
9609015,Baby Spa," Includes firms specialized in a wide variety of water activities that focus on the mental and physical development for infants, babies, toddlers and kids, using pools specially designed for such purpose, it involves swimming classes, water gymnastics, massage, sauna rooms, such firms are allowed to sell the products relevant to the service provision, such as, perfumes and cosmetics, soap and hair care products and baby care requisites in non-bulk quantities"
9312035,Badminton Training," Includes firms specialized in the instruction of badminton, whether inside the firm’s own facility or elsewhere, it involves the operation of courts to allow for exercising such sport."
5229009,Baggage Wrapping," Includes wrapping travelers' baggage by plastic films, belts or bands in order to prevent damage at handling as well as breaking at airports, harbors and bus stations."
9529101,Bags Tailoring," Includes making school and hand bags made out of leather, fiber, textile or plastic by sewing different parts together."
4781003,Baker, Includes backing traditional bread using traditional bakeries.
9329007,Balloon Operation &," Maintenance Includes firms operating balloons for recreation. A balloon can either be fixed by wires to a tourist site, or can be fiying rendering short trips at altitudes and routes permitted by the authorities in charge of air traffic. Balloons must meet the safety requirements set by the concerned authorities. Firms can not attain this prior to obtaining the required approvals from the General Aviation Authorities and Civil Aviation Department."
6619002,Banking Consultant," Includes firms engaged in advising individuals and businesses on planning various banking issues, such as, saving, cash fiow, also, rendering consultancy on the appropriate funding as well as the better terms of short and long term borrowing and the interest rates This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
7010008,Banking, Representative Office Includes offices established in the Emirate of Dubai and managed by any of the international foreign banks. They are intended to promote the activities of the major banks existing in the fatherland country or those of any of their branches. They are also assigned to facilitate contacts between the concerned banks and their clients.
5621002,Banquet kitchen," Includes the provision of food services based on contractual arrangements with the customers, such firms are allowed the take away service as the premises lacks the suitable installations for serving food ."
8299001,Barcode Services," Includes firms that provide to others global bar-coding for their goods and services, each member’s products are entitled a code, thus they become globally recognized. The system allows for mutual understanding between producers, exporters and costumers worldwide."
7730018,Barges & Tugs," Charter Includes firms specialized in renting and operational leasing of tugboats for bringing vessels into and out of the port safely, also the barges which are built to transport heavy good."
9312034,Baseball Training," Includes firms specialized in the instruction of baseball, whether inside the firm’s own facility or elsewhere, it involves the operation of courts to allow for exercising such sport."
9312017,Basketball Training," Includes firms specialized in the instruction of basketball, whether inside the firm’s own facility or elsewhere, it involves the operation of courts to allow for exercising such sport."
149006,Beehives & Honey," Production Includes setting up man-made beehives amid agricultural areas rich of fiowers the source of nectar from which bees make honey, the beehives house honey, beeswax, propolis, pollen, royal jelly, bee venom."
4781009,Beverages Canteen, Includes the preparation and serving of beverages for immediate consumption on the premise.
9529004,Bicycles & Scooters," Repairing Includes repairing bicycles and scooters used for recreation, transportation and racing and as children's toys"
7721004,Bicycles Rental," Includes firms engaged in renting bicycles, fitted with two wheels or more, non-motorized, and are intended for leisure and sports use."
7310010,Billboards," Advertising Includes creating and placing advertisements in the outdoor advertising structure found in high- traffic areas such as alongside busy roads and on roof of buildings, aimed at attracting passing pedestrians and drivers."
9311008,Billiard & Pool Room," Includes firms specialized in the instruction of billiard and snooker, whether inside the firm’s own facility or elsewhere, It involves operating billiards rooms where people get together for playing billiards and snooker."
6920101,Billing services," Provider Includes firms engaged in the billing services on behalf of landlords, master developers, owner associations and other service providers, who pay the charges of the utilities consumed by the occupants and beneficiaries and want to recover the charges from each individual unit, it involves collecting consumption data, calculate charging and billing information, produce bills to customers, process their payments…etc."
149015,Birds Raising," Includes breeding different species of birds such parrot, peacock, canary, pigeon and others for commercial purposes. It involves conducting research regarding breeding and domestication."
4620902,Birds Trading," Includes reselling different species of birds, rare, ornamental and falconidaes like hawks and eagles (provided that selling not internationally prohibited ) birds breeding tools and foods are also involved"
2592009,Blacksmith &," Welding Works Includes smithery, welding, and turnery small workshops."
7729003,"Blankets, Towels &"," Linens Rental Includes renting and leasing household blankets, linens, bedcovers, furniture covers, bed sheets, towels, pillows, cushions and covers and the similar products."
6312101,Blogging Services," Includes bloggers who establish regular personal journal or diary on the internet to record their thoughts, opinions, or experiences and make available for other people to read and respond to."
8690031,Blood Bank Service," Center Specialized facility that deals with people for blood donation, preservation, and performing laboratories tests to assure the safe use of the donated blood and its contents, and dispensing it based on the approved policy and procedures. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
8549004,Boating & Yachting, Training Institute Includes firms specialized in conducting theoretical and practical sailing training to enable acquire the skills for driving boats and yachts.
5221007,Boats Transport &," Towing Includes firms engaged in transporting power boats, sail boats and yachts for different purposes."
3315003,Boats Upholstery, Services Includes providing ships and boats seats with high-resiliency and high-density materials with a thin film of plastic over in order to keep out water.
9312008,Body Building Club, Includes sport clubs licensed by competent authorities and which accommodate sport facilities for exercising body building in order to optimize trainees performance and qualify for regional and international sport excellence.
1812001,Books Binding," Includes manual and automated book binding to prevent book damage and make easier to use, including deluxe binding using textiles or plastic or leather."
1812007,Books Binding," Workshop Includes workshops engaged in manual and automated book binding to prevent book damage and make easier to use, including deluxe binding using textiles or plastic or leather."
9312003,Bowling Club," Includes sports institutions dedicated to bowling training through applying the latest theoretical and practical techniques to optimizing sporting performance and qualify players for regional and international sport excellence, the process involves emphasizing the physical, skills improving, knowledge and psychological aspects, these firms should set up the facilities that enable conducting the training."
9312013,Boxing Club," Includes firms specialized in the instruction of boxing, whether inside the firm’s own facility or elsewhere, It involves the operation of boxing rings to allow for exercising such sport."
7320005,Branding Services," Includes firms engaged conducting branding and corporate identity services, involving defining the brand strategy for corporations to enable them present themselves to the public, also, articulating the visual identity and expression of the corporation which might be manifested in the company name, logo, slogan, such elements play significant roles in the way an organization presents itself to both internal and external stakeholders."
6612001,Brokerage in Local, Securities Includes firms acting as intermediary in the purchase or sale transactions of securities in the stock market and which are licensed by the Securities & Commodities Authority.
6612002,Brokerage in," Securities Listed in Foreign Markets It includes legal entities whose acting as intermediary in the purchase or sale transactions of securities listed in the international securities market, where securities include Stocks, bonds, sukuk, units of investment funds, commodities contracts, derivatives and other securities or financial instruments issued by foreign issuers."
8121001,Building Cleaning," Services Includes firms which provide interior, exterior and outer areas cleaning to residential buildings and governmental and professional premises , it excludes providing domestic workers who perform as cooks, gardeners, housekeepers, laundress, caring for children and elderly, it also excludes providing these workers to conduct cleaning residential buildings on temporary basis."
