DMCC ACTIVITY SHEET,,,,,,,,,,,,
Category,Activity Code,Activity Name,Activity Name (Arabic),License Type,Description,Business Plan ,Property Type,Restrictions,DMCC Requirements,Minimum Share Capital,Third Party No Objection Certificate 1 (Regulated Activities) ,Third Party No Objection Certificate 2 (Regulated Activities) 
Media & Marketing,2222-04,Design & Artwork Services,خدمات التصميم الفني للمطبوعات,Service,"Includes providing a wide range of design and artworks to firms engaged in printing and publishing. This includes designing books, magazine covers, stamps, greeting cards and brochures, the process may take the traditional for modern techniques.",No,Any Type,No Restriction,,"50,000 AED per company",,
Precious Metals & Stones,2732-01,Gold & Precious Metal Casting,عمليات سباكة الذهب والمعادن الثمينة,Industrial,"Includes smelting, purifying shaping gold and precious in ingots with standardized weights and sizes. It also includes gold and precious metals rolling and extrusion to make respective wires, papers and chips.",Yes,Workshop or Industrial Plot,No Restriction,,"50,000 AED per company",Dubai Police - Department of Protective Systems,
Precious Metals & Stones,2732-05,Gold Refinery,تصفية الذهب,Industrial,"Includes recovering and separate gold from alloying elements such as copper, lead, zinc and iron, the process involves melting and treating with chlorine gas to transform the elements to their chlorides and leave the gold refined.",Yes,Workshop or Industrial Plot,No Restriction,,"50,000 AED per company",Dubai Police - Department of Protective Systems,
Healthcare,3311-01,Dental Laboratory,معمل صناعة الاسنان وتركيبها,Service,A health facility licensed and equipped to manufacture dental prosthetics to be used by patients as per instructions of the dentist.,No,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Precious Metals & Stones,3691-01,Gold & Precious Metal Products Manufacturing,صناعة المصوغات من الذهب والمعادن الثمينة,Industrial,"Includes gold smithing of gold and other precious metals (excluding silver), such as platinum, nickel and other precious metals to produce jewellery and gold articles, such as rings, bracelets, earring and other showpieces.",No,Workshop or Industrial Plot,No Restriction,,"50,000 AED per company",Dubai Police - Department of Protective Systems,
Precious Metals & Stones,3691-03,Precious Stones Cutting & Polishing,تقطيع الاحجار الكريمة و صقلها,Industrial,"Includes cutting, polishing, burnishing of precious stones into small pieces to prepare for jewellery making.",No,Workshop or Industrial Plot,No Restriction,Adherence to Diamond trading industry best practices Undertaking,"50,000 AED per company",Dubai Police - Department of Protective Systems,
Precious Metals & Stones,3691-04,Precious Jewellery Manufacturing,صناعة المجوهرات الثمينة,Industrial,"Includes the fitting of jewels or diamonds and precious stones on Jewellery products, watches or accessories as well as other gold articles and precious metals.",No,Workshop or Industrial Plot,No Restriction,Adherence to Diamond trading industry best practices Undertaking,"50,000 AED per company",Dubai Police - Department of Protective Systems,
Precious Metals & Stones,3691-05,Goldsmith,صائغ ذهب ومجوهرات ثمينة,Industrial,Includes small goldsmith workshops that repair certain jewel accessories or manufacture certain parts of jewels from gold and silver and precious metals.,No,Workshop or Industrial Plot,No Restriction,,"50,000 AED per company",Dubai Police - Department of Protective Systems,
Precious Metals & Stones,3691-06,Silversmith,صائغ فضة,Industrial,"Includes making of silversmiths’ articles, such as brooches, earnings, necklaces, bracelets, rings from silver.",No,Workshop or Industrial Plot,No Restriction,,"50,000 AED per company",,
Technology & Telecom,4530-08,Security & Surveillance Systems Installation & Maintenance,تركيب معدات وأجهزة الامن والمراقبة وصيانتها,Service,"Includes installing and maintaining security and surveillance systems in facilities and public utilities to prevent burglary breaking in or sabotage or other hazardous acts, such systems involve alarm monitors, surveillance cameras and others",Yes,Any Type,No Restriction,,"50,000 AED per company",Dubai Police - Department of Protective Systems,
Technology & Telecom,4530-09,Internal Communication Network Installation & Maintenance,تركيب شبكات الاتصال الداخلي وصيانتها,Service,"Includes designing internal communication systems and networks installed in large complexes, hotels, hospitals, public institutions, student hostels and others, also, fixing telephone calls reception and answering machines and the maintenance and repair services.",Yes,Any Type,,,"50,000 AED per company",Telecommunications Regulatory Authority,
Technology & Telecom,4530-10,Communication & Wireless System Equipment Installation,تركيب معدات انظمة الاتصال السلكي واللاسلكي,Service,"Includes firms specialized in installing telecommunication apparatus, including main switchboards and exchanges well as calls transfer devices and the satellites ground stations.",Yes,Any Type,,,"50,000 AED per company",Telecommunications Regulatory Authority,
Automotive Transportation,5010-01,Automobile Trading (Outside UAE),تجارة سيارات الركاب خارج دولة الإمارات العربية المتحدة,Trading,"Includes reselling of motor vehicle for personal passenger use, or for commercial use including rental and taxi services.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Automotive Transportation,5010-02,Buses & Trucks Trading (Outside UAE),تجارة الحافلات والشاحنات والقاطرات خارج دولة الإمارات العربية المتحدة,Trading,"Includes reselling different passenger buses, as well as trucks and trailers for transporting goods, liquid substances, building materials…etc.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Automotive Transportation,5010-03,Specialized Vehicles Trading,تجارة السيارات ذات الاغراض المتخصصة,Trading,"Includes reselling specialized motor vehicles including ambulances, fire engines, garbage collectors , street sweepers, truck- mounted cranes for loading and discharging and truck mixers.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Automotive Transportation,5010-04,Used Automobile Trading,تجارة السيارات المستعملة,Trading,"Includes reselling used vehicles for passenger transportation, whether being used for short or long time.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Automotive Transportation,5010-05,Used Vehicles Trading (Outside UAE),تجارة المركبات والشاحنات المستعملة خارج دولة الإمارات العربية المتحدة,Trading,"Includes reselling used vehicles and trucks for transporting goods, building materials and liquid tankers…etc",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Automotive Transportation,5010-06,Club Cars Trading & Maintenance,تجارة العربات الكهربائية المتخصصة وصيانتها,Trading,"Includes electric mini cars designed to serve in golf clubs, football stadiums, horse racetracks as well as passengers and visitors shuttles in airports and malls.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Automotive Transportation,5010-07,Racing Cars Trading,تجارة سيارات السباق,Trading,"Includes reselling different racing cars, which are exclusively restricted to racing tracks.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Automotive Transportation,5010-08,Safe Transport Specialized Vehicles Trading,تجارة السيارات الخاصة للنقل الآمن,Trading,Includes reselling of vehicles fitted with protective accessories to allow for safe transport of people and hazardous materials.,No,Any Type,Outside UAE only,,"50,000 AED per company",,
Personal & Community Services,5020-18,Parking Car Washing,غسل السيارات في المواقف,Service,Includes firms engaged in car washing and cleaning manually or through specially equipped movable vehicles which carry out such services in public parking lots and parking facilities in malls and other premises.,No,Physical Office space,No Restriction,,"50,000 AED per company",DMCC Asset Management Department,
Automotive Transportation,5030-01,Auto Spare Parts & components Trading,تجارة قطع غيار السيارات والمركبات ومكوناتها,Trading,"Includes reselling spare parts and to use fully or partially in repairing and maintaining motor vehicles, buses, trucks and trailers and other relevant requisites including oils, detergents, paints.. etc..",No,Any Type,No Restriction,,"50,000 AED per company",,
Automotive Transportation,5030-02,Auto Accessories Trading,تجارة الاجزاء الاضافية للسيارات,Trading,"Includes the reselling accessories fitted in cars and vehicles such as, additional bumpers to adjust exterior, air deflectors to increase the car's efficiency , baggage loading racks to diversify the car's use , as well as sun and rain protectors and small trailers, also, devices fitted in public service vehicles such as police, ambulances and fire engines.",No,Any Type,No Restriction,,"50,000 AED per company",,
Automotive Transportation,5030-03,Tyres & Rims Trading,تجارة اطارات السيارات,Trading,"Includes reselling of various types of tyres and requisites including casings, rims and tubes.",No,Any Type,No Restriction,,"50,000 AED per company",,
Automotive Transportation,5030-06,Batteries Trading,تجارة البطاريات السائلة,Trading,"Includes reselling power generation and storage batteries for cars, boats, motorcycles and other machinery.",No,Any Type,No Restriction,,"50,000 AED per company",,
Automotive Transportation,5040-01,Motorcycles Trading,تجارة الدراجات النارية وقطع غيارها ولوازمها,Trading,"Includes reselling the two or three wheeled motorized motorcycles for cruising in paved roads or for off road use, including selling spare parts and motorcyclists accessories such as helmets .",No,Any Type,No Restriction,,"50,000 AED per company",,
Automotive Transportation,5040-05,Trikke Scooters Trading,تجارة الدراجات الكهربائية,Trading,Includes reselling the three-wheeled electric scooters which is equipped with battery to produce power.,No,Any Type,No Restriction,,"50,000 AED per company",,
Automotive Transportation,5040-06,Motorcycles Spare Parts & Accessories Trading,تجارة قطع غيارها الدراجات النارية ولوازمها,Trading,"Includes reselling the parts and components used for the repair or replacement of motorcycles failed parts, also the motorcyclists accessories such as helmets.",No,Any Type,No Restriction,,"50,000 AED per company",,
Professional Services,5110-03,Commercial Brokers,وسيط تجاري,Service,"Includes firms engaged in bringing sellers and buyers involved in wholesale and retail trade together in return of a commission or remuneration, these firms are neither allowed to trade on own account nor practice brokerage in real estate, services, shares and bonds and finance.",Yes,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Community Services,5110-04,Auction Hall,صالة بيع بالمزاد,Service,"Includes firms engaged in buying and selling goods by offering them up for bid whether indoor for items like jewellery and vehicles and phone numbers, or outdoor bidding for items like cars and real estate, it doesn’t include authentic artifacts and antiques which are classified under the activity no. 5110-14.",No,Physical Office space,No Restriction,,"50,000 AED per company",,
Support Services,5110-05,Government Commercial Liaison Office,مكتب ارتباط تجاري حكومي,Service,"This is a government office established in the Dubai by any competent official entity subordinated to a foreign country in order to activate trade relations with that country and to promote its products as well as its industrial and commercial enterprises, such offices are not allowed to carry out any trading activity nor enter into commercial transactions and deals by themselves.",Yes,Any Type,Branch companies only,,No Share Capital,Dubai Chamber,
Support Services,5110-06,Representative Office,مكتب تمثيل,Service,"This is an office established in DMCC Free Zone by any international company or enterprise to represent it in the UAE in order to promote its products and services, boost business, or facilitate commercial agreements between the principal the customers, such office is not allowed to carry out any trading activity nor enter into commercial transactions and deals by itself.",Yes,Any Type,Branch companies only,,No Share Capital,,
Media & Marketing,5110-08,Merchandising services,عرض وتجهيز السلع والمنتجات لأغراض الترويج,Service,"Includes firms engaged in displaying and presenting products in supermarkets and retail stores to maximize sales, including, wrapping some goods with gifts, pictures or cards to promote.",No,Any Type,No Restriction,,"50,000 AED per company",,
Support Services,5110-09,Regional Liaison Office,مكتب ارتباط اقليمي,Service,"This is an office established in DMCC Free Zone by any foreign company or enterprise to facilitate the contacts and follow-up of the company's activities and affairs, and to promote the company services. Such an office may not carry out the company's activities nor make any trading activity inside the UAE.",Yes,Any Type,Branch companies only,,No Share Capital,,
Support Services,5110-11,Banking Liaison Office,مكتب تمثيل مصرفي,Service,Includes offices established in DMCC Free Zone and managed by any of the international foreign banks. They are intended to promote the activities of the major banks existing in the fatherland country or those of any of their branches. They are also assigned to facilitate contacts between the concerned banks and their clients.,Yes,Any Type,Branch companies only,,No Share Capital,Central Bank,
Hospitality,5110-12,Loyalty Card Services,خدمات إصدار بطاقات الولاء,Service,"ncludes firms that issue and/or operate loyalty and preloaded card programs which enable cardholders to become a member in a loyalty program, the card works as identifier of the holder when making purchases, the member will be entitled to accumulate points and to redeem them against goods and services at participating partners. It includes joint promotions by partners within the scheme and using partners’ outlets for distributing loyalty program information and applications. Both the firm and the cardholder will benefit of the service, the first will increase the client base and the latter will get additional benefits",Yes,Any Type,No Restriction,Letter of interest and / or an agreement with a party that has interest in being part of this loyalty card/program,"50,000 AED per company",,
Support Services,5110-13,Academic Liaison Office,مكتب تمثيل أكاديمي,Service,"This is an office established in DMCC Free Zone by any international academic institution to represent and boost ties and to facilitate academic exchange with its local counterparts; also, educating local students and academic institutions of partners’ universities and their activities and specializations, such office is not allowed to carry out admission services or commercial activities.",Yes,Any Type,Branch companies only,,No Share Capital,Knowledge & Human Development Authority,
Personal & Community Services,5110-14,Authentic Artifacts & Antiques Auction House,صالة مزادات الأعمال الفنية والمقتنيات القديمة,Service,"Includes firms which conduct auctions of genuine artifacts, antiques and/or artworks. Auctions may be held for either commercial or non-commercial purposes and may be held on behalf of a third party (e.g. art gallery, charity).",No,Physical Office space,No Restriction,,"50,000 AED per company",,
Support Services,5110-15,Pharmaceutical Representative Office,مكتب تمثيل صيدلي,Service,"This is a scientific office established in DMCC Free Zone by a pharmaceutical company to notify and give information on the medicinal and chemical elements of their pharmaceuticals, and shall be contacted by the medical authorities in case undesired adverse effects of their products, it will also be responsible of the advertising as well as facilitating deals with the local customers, such office is not allowed to engage in commercial transactions.",Yes,Any Type,Branch companies only,,No Share Capital,Ministry of Health,
Technology & Telecom,5110-99,E-Marketplace Service Provider (DMCC),مزود خدمة السوق الالكترونية,Service,"Includes firms engaged in providing an online platform which promotes third parties’ products and services and facilitates commercial transactions between buyers and sellers in return of a commission or remuneration; such firms are neither allowed to trade nor practise brokerage in real estate, investments, forex or any other regulated activities.",Yes,Any Type,No Restriction,E-Marketplace Service Provider (DMCC) Undertaking,"50,000 AED per company",,
Food & Agro,5121-01,Seeds Trading,تجارة البذور والتقاوي,Trading,"Includes reselling plants, trees and flowers seeds and breeders for boosting agricultural output. This should be carried for only agricultural and industrial purposes and not for direct consumption.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5121-03,Flowers & Plants Trading,تجارة الزهور ونباتات الزينة,Trading,Includes reselling various types of raw flowers and ornamental plants.,No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5121-04,Natural Herbs Trading,تجارة النباتات والأعشاب الطبيعية,Trading,"Includes reselling raw and dried plants, herbs tisanes and fruits used for medication and treatment, without involving any converting or industrial processes.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5121-06,"Grains, Cereals & Legumes Trading",تجارة الغلال والحبوب والبقول,Trading,"Includes reselling cereals and fruits such as rice, wheat, barley, corn, dates, citrus, legumes, beans, chick peas, and others. It also includes peeling, blending and bleaching for preparation before consumption.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5121-10,Fish & Live Animals Trading,تجارة اسماك الزينة والحيوانات الحية,Trading,"Includes reselling aquarium marine species, such as, fishes, dolphins, sea lions, sea otters, sea turtles, penguins...etc, also other pets, like cats and dogs, wildlife animals, snakes and biting reptiles (provided that selling is not internationally prohibited), also, breeding and care tools such as aquarium, cages, and feeders.",No,Retail Shop,No Restriction,,"50,000 AED per company",Ministry of Environment & Water,Public Health Services Department - Dubai Municipality
Food & Agro,5121-17,Plant & Tree Nurseries Trading,تجارة شتلات الاشجار والنباتات,Trading,"Includes reselling fruits, shade trees, odorous plants, saplings of ornament plants, flowers, bulbs and others.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5121-18,Animal & Birds Feed Trading,تجارة اغذية الحيوانات والطيور,Trading,"Includes reselling animals and birds food which can be canned or dried such as grains, seeds, meats, fruits. It also includes health food like vitamins and tonics other than veterinary medicines.",No,Any Type,No Restriction,,"50,000 AED per company",Ministry of Environment & Water,Public Health Services Department - Dubai Municipality
Food & Agro,5121-19,Birds Trading,تجارة الطيور,Trading,"Includes reselling different species of birds, rare, ornamental and falconidaes like hawks and eagles (provided that selling not internationally prohibited ) birds breeding tools and foods are also involved",No,Physical Office space,No Restriction,,"50,000 AED per company",Ministry of Environment & Water,Public Health Services Department - Dubai Municipality
Food & Agro,5121-20,Animal Fodder Supplements Trading,تجارة مكملات علف الحيوان,Trading,"Includes reselling supplements added to at processing fodder, whether of vegetal or animal origin, such as vitamins, amino acids and sulfates.",No,Any Type,No Restriction,,"50,000 AED per company",Ministry of Environment & Water,
Food & Agro,5121-21,Coal & Firewood Trading,تجارة الفحم والحطب,Trading,"Includes reselling wood and charcoal and stone coal to use in heating, cooking and in factories.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5121-22,Tanned Leathers Trading,تجارة الجلود المدبوغة,Trading,Includes reselling of tanned and processed animal leather to render for industrial or any other use.,No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5121-24,Cotton & Natural Fibers Trading,تجارة القطن والالياف الطبيعية,Trading,"Includes trading of raw cotton before undergoing any industrial or converting processes in order to meet different industrial and commercial needs, also, linen, jute, hemp and other natural fibers.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-00,Food & Beverages Trading,تجارة المواد الغذائية والمشروبات,Trading,"Includes reselling of canned, preserved and frozen foodstuff, or any of the items mentioned in this class.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-01,Health Food Trading,تجارة الاغذية الصحية,Trading,"Includes reselling foodstuff prepared for people suffering from certain diseases, involving foods manufactured from natural substances in such a way that they do not contain any artificial materials, flavors, or colors that are usually added to canned or preserved food, also, nourishing substitutes for athletes and diet recipes such as vitamins and drinks.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-02,Baby Food Trading,تجارة اغذية الاطفال,Trading,"Includes reselling baby food, such as liquid or powdered milk, beverages, juices and other dried or liquid foods.",No,Any Type,No Restriction,,"50,000 AED per company",Dubai Municipality - Food Control Department,
Food & Agro,5122-03,Snack Food Trading,تجارة الاغذية الخفيفة,Trading,"Includes reselling snacks packed in bags or well-sealed packs, such as potato chips or cheese balls...etc.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-04,Dairy Products Trading,تجارة الالبان ومنتجاتها,Trading,"Includes reselling fresh and preserved milk, whether in liquid, powdered or condensed, also, dairies including cheese, butter, cream and others, usually raw, canned or preserved.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-05,Canned & Preserved Food Trading,تجارة المواد الغذائية المعلبة والمحفوظة,Trading,"Includes reselling vegetables, fruits, meat and other consumer vegetable and animal products that are preserved in well sealed metallic cans, frozen, or preserved in plastic, wooden, paper or glass containers. Items mentioned in this Class hereinabove and hereunder are excluded.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-06,"Fresh, Chilled & Frozen Meat Trading",تجارة اللحوم الطازجة والمبردة والمجمدة,Trading,"Includes reselling beef, mutton, birds and poultry meat (except fishes which are classified under No. 5122-30). These meats should be fresh, chilled or frozen (Livestock trading is listed under class No. 5121), provided that no freezing or any converting process have been executed.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-07,Frozen Fish & Seafood Trading,تجارة الاسماك والاغذية البحرية المجمدة,Trading,"Includes reselling all types of frozen fishes and seafood, such as snails, shrimps, sea tortoises and other consumable seafood, after being packed in plastic bags or packs to preserved frozen.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-08,Salted & Preserved Fish & Seafood Trading,تجارة الاسماك والاغذية البحرية المملحة والمحفوظة,Trading,"Includes reselling of salted, dried or smoked fishs and seafood.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-09,Egg Trading,تجارة البيض,Trading,Include reselling poultry and birds eggs for consumption or incubation.,No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-10,Honey & Apiary Accessories Trading,تجارة عسل ومستلزمات المناحل,Trading,"Includes reselling raw, purified, refined and bottled honey, also, royal jelly, pollen, propolis as well as beehives, beeswax sheets, honey extractors and other apiary accessories.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-11,Sugar Trading,تجارة السكر,Trading,"Includes reselling sugar, whether in bulk or consumer packs, in small packs or in small cubes.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-12,Tea Trading,تجارة الشاي,Trading,"Includes reselling tea, whether in bulk or consumer packs.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-13,Coffee Trading,تجارة البن والقهوة,Trading,"Includes reselling coffee beans, whether in bulk or consumer packs.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-14,Spices Trading,تجارة البهارات والتوابل,Trading,"Includes reselling of dried, packed or preserved spices, whether as raw or after having been roasted, ground, blended or packed.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-15,Bread & Bakery Products Trading,تجارة الخبز ومنتجات المخابز,Trading,"Includes reselling of different types of bread and bakery products such as cakes, biscuits and toasted bread.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-16,Confectionery & Chocolate Trading,تجارة الحلويات والشوكولاته,Trading,"Includes re selling of all kinds of flavored confectionaries such as caramels, toffee, gums, lollipops, boiled sweets.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-17,Pastry Trading,تجارة المعجنات والحلويات الشرقية,Trading,Includes reselling pastries in deferent fillings and ready for consumption.,No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-18,Ice Cream Trading,تجارة المثلجات,Trading,"Includes reselling made from dairy products, such as milk and cream, and combined with fruits or other ingredients and flavors.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-19,Flour Trading,تجارة الدقيق,Trading,"Includes reselling brown and white flour for making bread, pies, biscuit, cakes, pastries…etc.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-20,Ghee & Vegetable Oil Trading,تجارة السمن والزيوت النباتية,Trading,"Includes reselling of packed fats and natural and artificial vegetable and animal ghee, also, bottled vegeta oils, such as corn, olive, sunflower, soya and vegetable oil.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-21,Nuts Trading,تجارة المكسرات,Trading,"Includes reselling of all kinds of nuts, such as pistachio, almond, and peanuts, whether raw or after b peeling, processing, roasting, salting or packing in well sealed packs for consumption.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-22,Salt Trading,تجارة الملح,Trading,Includes reselling refined salt for food salting and preservation as well as skins of animals tanning and fishes salting.,No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-23,Mineral Water Trading,تجارة المياه المعدنية,Trading,Includes reselling mineral water from mineral springs and wells after purification and bottling.,No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-24,Soft Drinks & Carbonated Water Trading,تجارة المرطبات والمياه الغازية,Trading,Includes reselling sweetened and a flavored carbonated water as well as the plain carbonated water.,No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-25,Juice Trading,تجارة العصائر,Trading,"Includes reselling of all vegetable & fruit juices, whether liquid, dried or condensed.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-27,Ice Trading,تجارة الثلج,Trading,"Includes reselling ice in blocks, and tubular types to use in food storage and processing, chemical manufacturing, concrete mixing.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-29,Dried Vegetables & Fruit Trading,تجارة الخضار والفواكه المجففة,Trading,"Includes reselling vegetables and fruit dried through sun, or through dryers or dehydrators, such as figs, pineapple, peaches, apricots.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-30,Fish & Marine Animals Trading,تجارة الاسماك والحيوانات البحرية,Trading,"Includes reselling fresh fish and marine animals, whether whole or in pieces, no conversion or preserving processes are involved (frozen and preserved fish and seafood are classified under no 5122-07 and 5122-08).",No,Physical Office space,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-31,Flavours & Fragrances Trading,تجارة المنكهات ومكسبات الطعم,Trading,"Includes reselling flavors and fruit extracts used in processing foodstuff, also fragrances used in manufacturing aromatics and cleaning products.",No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-32,Vegetables & Fruit Trading,تجارة الخضار والفواكه,Trading,Includes reselling fresh vegetables and fruits prior to any drying or canning processes.,No,Any Type,No Restriction,,"50,000 AED per company",,
Food & Agro,5122-33,Potatoes Trading,تجارة البطاطس,Trading,"Includes reselling fresh potatoes after sorting, cleaning and packaging.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-01,Textile Trading,تجارة المنسوجات والاقمشة,Trading,Includes reselling of textiles and fabrics used for sewing and fashion wear or making readymade garments.,No,Any Type,No Restriction,,"50,000 AED per company",,
